index,company_name,stock_symbol,portfolio_percent,price,flat_change,percent_change
310,Symbol Not Found,MTB,0.05%,143.22,-2.22,(-1.53%)
311,Symbol Not Found,BR,0.05%,203.23,-1.63,(-0.80%)
312,"Nasdaq, Inc.",NDAQ,0.05%,62.29,-0.81,(-1.28%)
313,Symbol Not Found,RJF,0.05%,128.52,0.10,(0.08%)
314,"American Water Works Company, Inc",AWK,0.05%,120.30,-1.91,(-1.56%)
315,Symbol Not Found,SBAC,0.05%,213.92,-2.78,(-1.28%)
316,Symbol Not Found,STT,0.05%,77.25,-0.07,(-0.09%)
317,Symbol Not Found,IRM,0.05%,79.54,-0.67,(-0.84%)
318,Symbol Not Found,ALGN,0.05%,319.65,-8.27,(-2.52%)
319,Take-Two Interactive Software Inc,TTWO,0.05%,150.00,1.51,(1.02%)
320,Symbol Not Found,DTE,0.05%,110.73,-1.41,(-1.26%)
321,Symbol Not Found,GRMN,0.05%,147.36,-1.51,(-1.01%)
322,Hewlett Packard Enterprise Company,HPE,0.05%,17.94,0.21,(1.18%)
323,Symbol Not Found,PTC,0.05%,188.12,-0.82,(-0.43%)
324,Symbol Not Found,STLD,0.05%,149.26,1.03,(0.69%)
325,Symbol Not Found,STE,0.05%,221.03,-3.79,(-1.69%)
326,"Axon Enterprise, Inc.",AXON,0.05%,311.37,-1.51,(-0.48%)
327,Aptiv Plc,APTV,0.05%,78.79,-0.86,(-1.08%)
328,Symbol Not Found,ETR,0.05%,104.74,-0.94,(-0.89%)
329,Symbol Not Found,HUBB,0.05%,416.80,1.75,(0.42%)
330,Symbol Not Found,CPAY,0.05%,305.90,-2.64,(-0.86%)
331,"Netapp, Inc",NTAP,0.05%,105.04,0.07,(0.07%)
332,Symbol Not Found,IFF,0.05%,86.37,0.38,(0.44%)
333,Illumina Inc,ILMN,0.05%,132.72,-4.60,(-3.35%)
334,Genuine Parts Company,GPC,0.05%,154.28,-0.65,(-0.42%)
335,Western Digital Corp.,WDC,0.05%,70.85,2.61,(3.82%)
336,Symbol Not Found,BAX,0.05%,43.55,0.81,(1.90%)
337,Symbol Not Found,EQR,0.05%,61.45,-1.66,(-2.63%)
338,Ball Corporation,BALL,0.05%,67.84,0.48,(0.71%)
339,Coterra Energy Inc.,CTRA,0.05%,28.01,0.13,(0.47%)
340,Symbol Not Found,ES,0.05%,58.88,-0.89,(-1.49%)
341,Symbol Not Found,BRO,0.05%,86.32,-1.22,(-1.39%)
342,Symbol Not Found,WAT,0.05%,344.51,0.28,(0.08%)
343,Symbol Not Found,TDY,0.05%,424.93,-4.39,(-1.02%)
344,Symbol Not Found,COO,0.05%,99.24,-2.22,(-2.19%)
345,Symbol Not Found,PPL,0.05%,27.50,-0.03,(-0.11%)
346,Symbol Not Found,INVH,0.05%,35.07,-0.54,(-1.52%)
347,"Darden Restaurants, Inc.",DRI,0.05%,167.24,0.09,(0.05%)
348,Symbol Not Found,ARE,0.05%,125.50,-3.41,(-2.65%)
349,Symbol Not Found,FE,0.05%,38.37,-0.25,(-0.65%)
350,Huntington Bancshares Inc,HBAN,0.04%,13.73,-0.22,(-1.58%)
351,Symbol Not Found,VLTO,0.04%,87.54,-1.12,(-1.26%)
352,Symbol Not Found,CINF,0.04%,122.17,-2.00,(-1.61%)
353,Symbol Not Found,J,0.04%,151.23,-2.50,(-1.63%)
354,Regions Financial Corp.,RF,0.04%,20.56,-0.48,(-2.28%)
355,"Warner Bros. Discovery, Inc. Series a",WBD,0.04%,8.79,0.06,(0.69%)
356,Symbol Not Found,MKC,0.04%,76.62,-0.19,(-0.25%)
357,"Cboe Global Markets, Inc.",CBOE,0.04%,181.87,-1.86,(-1.01%)
358,Las Vegas Sands Corp.,LVS,0.04%,53.18,1.48,(2.86%)
359,Symbol Not Found,AEE,0.04%,73.24,-0.72,(-0.97%)
360,Symbol Not Found,CLX,0.04%,151.65,-1.46,(-0.95%)
361,Symbol Not Found,PFG,0.04%,86.01,-0.30,(-0.35%)
362,Symbol Not Found,TXT,0.04%,95.33,-0.60,(-0.63%)
363,Omnicom Group Inc.,OMC,0.04%,96.58,-0.18,(-0.19%)
364,"Expedia Group, Inc.",EXPE,0.04%,133.22,-4.53,(-3.29%)
365,Symbol Not Found,IEX,0.04%,240.87,-3.15,(-1.29%)
366,Symbol Not Found,LH,0.04%,216.35,-2.11,(-0.97%)
367,Seagate Technology Holdings Plcs,STX,0.04%,91.78,-1.27,(-1.36%)
368,Symbol Not Found,NTRS,0.04%,88.44,-0.48,(-0.54%)
369,Symbol Not Found,HOLX,0.04%,76.12,-1.84,(-2.36%)
370,Symbol Not Found,AVY,0.04%,223.57,0.32,(0.14%)
371,W.R. Berkley Corporation,WRB,0.04%,87.49,-0.95,(-1.07%)
372,"First Solar, Inc.",FSLR,0.04%,171.87,3.07,(1.82%)
373,"Centerpoint Energy, Inc.",CNP,0.04%,28.42,-0.07,(-0.25%)
374,Symbol Not Found,LDOS,0.04%,130.42,-0.67,(-0.51%)
375,Symbol Not Found,EXPD,0.04%,119.07,-2.50,(-2.06%)
376,Symbol Not Found,ATO,0.04%,117.85,-1.02,(-0.86%)
377,Symbol Not Found,TYL,0.04%,416.69,-8.32,(-1.96%)
378,Symbol Not Found,CMS,0.04%,59.98,-0.36,(-0.60%)
379,Symbol Not Found,MAS,0.04%,77.69,-1.19,(-1.51%)
380,Synchrony Financial,SYF,0.04%,41.75,-1.37,(-3.18%)
381,Southwest Airlines Co.,LUV,0.04%,29.18,-0.01,(-0.03%)
382,Jabil Inc.,JBL,0.04%,135.61,1.66,(1.24%)
383,Symbol Not Found,VTR,0.04%,42.86,-0.68,(-1.56%)
384,Carnival Corporation,CCL,0.04%,16.26,-0.08,(-0.49%)
385,Skyworks Solutions Inc,SWKS,0.04%,107.04,-1.28,(-1.18%)
386,Domino's Pizza Inc.,DPZ,0.04%,493.92,-2.96,(-0.60%)
387,Symbol Not Found,EG,0.04%,398.04,0.54,(0.14%)
388,"Teradyne, Inc.",TER,0.04%,112.95,0.12,(0.11%)
389,Symbol Not Found,FDS,0.04%,442.88,-11.51,(-2.53%)
390,Symbol Not Found,PKG,0.04%,188.75,-1.03,(-0.54%)
391,Celanese Corporation,CE,0.04%,171.14,-0.72,(-0.42%)
392,"Tyson Foods, Inc.",TSN,0.04%,57.85,-0.88,(-1.50%)
393,Symbol Not Found,VRSN,0.04%,189.34,-0.17,(-0.09%)
394,"Citizens Financial Group, Inc.",CFG,0.04%,35.64,-0.65,(-1.79%)
395,Symbol Not Found,AKAM,0.04%,109.33,0.57,(0.52%)
396,"Enphase Energy, Inc.",ENPH,0.04%,118.29,-2.69,(-2.22%)
397,Marathon Oil Corporation,MRO,0.04%,28.57,0.23,(0.81%)
398,Symbol Not Found,POOL,0.04%,401.30,-2.20,(-0.55%)
399,Jb Hunt Transport Services Inc,JBHT,0.04%,196.48,-2.77,(-1.39%)
400,"Best Buy Company, Inc.",BBY,0.04%,81.64,-0.39,(-0.48%)
401,Symbol Not Found,EPAM,0.04%,272.05,-4.11,(-1.49%)
402,"Cf Industries Holding, Inc.",CF,0.04%,83.33,0.12,(0.14%)
